Date,Value_US,Value_EU
2005-01-03,1.0,1.0
2005-01-04,1.0,1.0
2005-01-05,1.0,1.0
2005-01-06,1.0,1.0
2005-01-07,1.0,1.0
2005-01-10,1.0,1.0
2005-01-11,1.0,1.0
2005-01-12,1.0,1.0
2005-01-13,1.0,1.0
2005-01-14,1.0,1.0
2005-01-18,1.0,1.0
2005-01-19,1.0,1.0
2005-01-20,1.0,1.0
2005-01-21,1.0,1.0
2005-01-24,1.0,1.0
2005-01-25,1.0,1.0
2005-01-26,1.0,1.0
2005-01-27,1.0,1.0
2005-01-28,1.0,1.0
2005-01-31,0.999,0.999
2005-02-01,0.9987160522492438,0.9987160522492438
2005-02-02,0.9988583903414877,0.9988583903414877
2005-02-03,0.9977211712431525,0.9977211712431525
2005-02-04,0.9972184828290787,0.9972184828290787
2005-02-07,0.9967375461242021,0.9967375461242021
2005-02-08,0.9967133893405535,0.9967133893405535
2005-02-09,0.9968341811806464,0.9968341811806464
2005-02-10,0.9978959232677809,0.9978959232677809
2005-02-11,0.9986846837034224,0.9986846837034224
2005-02-14,0.999800128547372,0.999800128547372
2005-02-15,0.9998706258396634,0.9998706258396634
2005-02-16,0.9997297296252814,0.9997297296252814
2005-02-17,1.0002234792153124,1.0002234792153124
2005-02-18,1.0002702962704602,1.0002702962704602
2005-02-22,1.0021889426743982,1.0021889426743982
2005-02-23,1.0018439119843061,1.0018439119843061
2005-02-24,1.0016362604711353,1.0016362604711353
2005-02-25,1.0020292360608738,1.0020292360608738
2005-02-28,1.0020983387135212,1.0020983387135212
2005-03-01,1.0013846974381169,1.0013846974381169
2005-03-02,1.0014542030320115,1.0014542030320115
2005-03-03,1.0008058655652585,1.0008058655652585
2005-03-04,1.001760788163616,1.001760788163616
2005-03-07,1.0019686226992808,1.0019686226992808
2005-03-08,1.0032593978700712,1.0032593978700712
2005-03-09,1.0032366158797936,1.0032366158797936
2005-03-10,1.0036468450827558,1.0036468450827558
2005-03-11,1.004169103704818,1.004169103704818
2005-03-14,1.0032650542540786,1.0032650542540786
2005-03-15,1.0033334179945415,1.0033334179945415
2005-03-16,1.0039027174649922,1.0039027174649922
2005-03-17,1.002792552713628,1.002792552713628
2005-03-18,1.0029527425199969,1.0029527425199969
2005-03-21,1.0011246234952036,1.0011246234952036
2005-03-22,1.0001023597264809,1.0001023597264809
2005-03-23,0.9995630235206552,0.9995630235206552
2005-03-24,0.9994923359397258,0.9994923359397258
2005-03-28,0.9998460169438633,0.9998460169438633
2005-03-29,0.9998930253538343,0.9998930253538343
2005-03-30,1.0000104921931123,1.0000104921931123
2005-03-31,1.0005033372642589,1.0005033372642589
2005-04-01,1.00003602892189,1.00003602892189
2005-04-04,0.9995198268153933,0.9995198268153933
2005-04-05,0.9996376929167357,0.9996376929167357
2005-04-06,1.0000615682678695,1.0000615682678695
2005-04-07,0.9999208104307403,0.9999208104307403
2005-04-08,1.0002026742552206,1.0002026742552206
2005-04-11,1.0004135395543483,1.0004135395543483
2005-04-12,1.000553853224159,1.000553853224159
2005-04-13,1.0006939900239518,1.0006939900239518
2005-04-14,0.9993177439031871,0.9993177439031871
2005-04-15,0.9995303148001755,0.9995303148001755
2005-04-18,1.000213948958318,1.000213948958318
2005-04-19,1.0015963017376333,1.0015963017376333
2005-04-20,1.001874015024521,1.001874015024521
2005-04-21,1.001389230599726,1.001389230599726
2005-04-22,1.001852945849755,1.001852945849755
2005-04-25,1.001968391536881,1.001968391536881
2005-04-26,1.0024297047253798,1.0024297047253798
2005-04-27,1.0014190088050767,1.0014190088050767
2005-04-28,1.000955387133211,1.000955387133211
2005-04-29,1.0017701147103273,1.0017701147103273
2005-05-02,1.000684003125781,1.000684003125781
2005-05-03,1.0004039545580465,1.0004039545580465
2005-05-04,1.0007315031192627,1.0007315031192627
2005-05-05,1.000754826277726,1.000754826277726
2005-05-06,0.9998452626030023,0.9998452626030023
2005-05-09,0.999915803847219,0.999915803847219
2005-05-10,1.0001273022644572,1.0001273022644572
2005-05-11,1.0002445761922067,1.0002445761922067
2005-05-12,0.9990027668189722,0.9990027668189722
2005-05-13,0.9985051632440743,0.9985051632440743
2005-05-16,0.9983385480940473,0.9983385480940473
2005-05-17,0.9982908708556143,0.9982908708556143
2005-05-18,0.9987439857427454,0.9987439857427454
2005-05-19,0.998577727061466,0.998577727061466
2005-05-20,0.9977927611903314,0.9977927611903314
2005-05-23,0.9977208851518979,0.9977208851518979
2005-05-24,0.9979845802723779,0.9979845802723779
2005-05-25,0.9983193927182187,0.9983193927182187
2005-05-26,0.9978902123983326,0.9978902123983326
2005-05-27,0.9983450015152833,0.9983450015152833
2005-05-31,0.9977967233694233,0.9977967233694233
2005-06-01,0.9975092363515405,0.9975092363515405
2005-06-02,0.9988783188870983,0.9988783188870983
2005-06-03,0.999044402450098,0.999044402450098
2005-06-06,0.9997788230101783,0.9997788230101783
2005-06-07,0.9995434737685659,0.9995434737685659
2005-06-08,0.9994491305570217,0.9994491305570217
2005-06-09,0.9992838940575433,0.9992838940575433
