Zone,Regime,Sector,IR,Win_Rate,Skewness,Kurtosis,CVaR_95
US,GOLDILOCKS,XLK,0.9713949569202465,0.6160714285714286,-0.4014984575742878,2.4448417674342666,-0.027602064220164462
US,GOLDILOCKS,XLY,0.5559605094254294,0.5803571428571429,-0.28931034449808674,1.801775123367058,-0.022929831593494522
US,GOLDILOCKS,XLF,0.11196485574435489,0.5178571428571429,-0.14883092187193955,5.767788965848737,-0.024427459680213367
US,GOLDILOCKS,XLE,-0.846407323175852,0.4107142857142857,0.37260834293729667,7.162256662550627,-0.03295517960637561
US,GOLDILOCKS,XLB,-0.6197223078496636,0.4642857142857143,-0.27651388704002566,2.4965762602401593,-0.022565622077160584
US,GOLDILOCKS,XLRE,-0.5478716914808991,0.3482142857142857,-0.05671626132458871,4.265976673467586,-0.020264339196495014
US,GOLDILOCKS,XLC,-0.20298343563903726,0.4642857142857143,0.05645598675938569,6.814464783465237,-0.02047844095395542
US,GOLDILOCKS,XLU,-0.4943092953008704,0.48214285714285715,0.006796658596125367,2.736345112071448,-0.02035671266697543
US,GOLDILOCKS,XLV,0.026662567340821966,0.49107142857142855,-0.018236367265963012,3.775405923849924,-0.018888244142343323
US,GOLDILOCKS,XLI,-0.12460861832356875,0.48214285714285715,-0.27993476944676027,2.9912363215782003,-0.021947148025101927
US,GOLDILOCKS,DBC,-1.1472266652580518,0.44642857142857145,-0.21298767971667606,1.6607275504395975,-0.022159831285060865
US,REFLATION,XLK,0.5521358485131104,0.5615384615384615,-0.29826245268219376,1.9818252687908515,-0.023014937873044806
US,REFLATION,XLY,0.20268933040117337,0.5769230769230769,-0.26347173352871583,2.1206953596488134,-0.023214626360115648
US,REFLATION,XLF,0.1101236452418527,0.46153846153846156,-0.27667144550575806,3.400038671305058,-0.026501505910383756
US,REFLATION,XLE,0.7187918301807396,0.5384615384615384,-0.09550301521997706,1.1354695107111619,-0.028746329471407765
US,REFLATION,XLB,0.30803287299543824,0.5384615384615384,-0.3178167931435671,1.5001002932257794,-0.025674348968953535
US,REFLATION,XLRE,-0.8763720059066785,0.3923076923076923,-0.599679233930326,9.965988988610953,-0.0156140856818782
US,REFLATION,XLC,-0.9962803652746716,0.3923076923076923,-0.9927439617077695,35.31901320629223,-0.01217878204047824
US,REFLATION,XLU,0.12377586243090849,0.5,-0.2964479578845513,1.4169485623295142,-0.019611777249577116
US,REFLATION,XLV,-0.028550396821688143,0.47692307692307695,-0.3338158195535255,1.7649464301487017,-0.01775111205187759
US,REFLATION,XLI,0.7382383083536108,0.5615384615384615,-0.2084675890876888,2.206402942714633,-0.02136887369629841
US,REFLATION,DBC,0.07767295927932556,0.46923076923076923,-0.2642729886483996,2.099049189683562,-0.023476244962870048
US,STAGFLATION,XLK,0.254667362044572,0.5294117647058824,0.6201330689440662,5.121646993158725,-0.04195718977006361
US,STAGFLATION,XLY,-1.276086525034002,0.4117647058823529,0.31292981932712005,2.171007761680137,-0.043723261519187616
US,STAGFLATION,XLF,-0.07257333894899291,0.4411764705882353,0.8458493164234975,3.3627947995190706,-0.03961635686385607
US,STAGFLATION,XLE,1.5412394302248864,0.6176470588235294,-0.42308452198385527,1.3057869310272734,-0.04810155589444881
US,STAGFLATION,XLB,0.5813425399611687,0.5882352941176471,0.3050240733067826,1.3973102454724016,-0.0369395335898637
US,STAGFLATION,XLRE,-0.09790270150453809,0.5,0.2623506571855126,5.155884766362428,-0.031120690850552264
US,STAGFLATION,XLC,-0.515915007901533,0.4117647058823529,0.11828823770558379,4.237854693915143,-0.03749078873003219
US,STAGFLATION,XLU,0.9986629052655125,0.6470588235294118,-0.3620778849088734,1.4460237687658024,-0.030267162573685016
US,STAGFLATION,XLV,0.7651879413389899,0.6470588235294118,-0.1670954888015793,1.3336232268484478,-0.024751320423654577
US,STAGFLATION,XLI,0.12827295519851106,0.5588235294117647,0.2621602881047914,2.8131091860021415,-0.03324146543068118
US,STAGFLATION,DBC,1.3857141603282508,0.6764705882352942,-0.48719885600154794,2.357186654493014,-0.03358478837072953
US,DEFLATION,XLK,0.77255920908387,0.5918367346938775,0.20377087507493752,5.328326997536712,-0.05470987108078077
US,DEFLATION,XLY,1.172032533693559,0.673469387755102,-0.28652615599225545,3.0941145300744353,-0.05692329391389513
US,DEFLATION,XLF,-0.24677293175266654,0.42857142857142855,0.28293010399754615,3.6626996358655077,-0.09188077375086225
US,DEFLATION,XLE,-0.4001892458083579,0.3673469387755102,-0.2655071593009824,5.481333100767667,-0.08207777065564197
US,DEFLATION,XLB,0.20786091049752858,0.5510204081632653,-0.022345304179315947,3.463716395666097,-0.06260200017363364
US,DEFLATION,XLRE,0.4132289569829979,0.6122448979591837,-1.5952640076980589,31.727934261455765,-0.03886213803196548
US,DEFLATION,XLC,0.44918275501336424,0.6530612244897959,-0.8720901834175385,28.22941746452461,-0.031086584721177413
US,DEFLATION,XLU,0.17623831193791056,0.5102040816326531,0.5420112970841888,8.36399428105826,-0.0500603187936988
US,DEFLATION,XLV,-0.13939598782458054,0.4897959183673469,0.059311928418106466,5.802851174966175,-0.0437151834045816
US,DEFLATION,XLI,0.17121731817955463,0.5510204081632653,-0.03399431147768519,3.393577968603042,-0.057103046042554784
US,DEFLATION,DBC,-0.8566838408406858,0.40816326530612246,-0.30662399635315307,1.5913219406453054,-0.0441409901171101
EU,GOLDILOCKS,EXV3.DE,0.4882324918002531,0.5748031496062992,-0.2179963936246147,1.9330293214806344,-0.024775331305848546
EU,GOLDILOCKS,EXV8.DE,0.5374858783216768,0.5354330708661418,0.05752880109022932,2.052138131194088,-0.02270814912043563
EU,GOLDILOCKS,EXV1.DE,0.4293360637927186,0.5590551181102362,-0.20711275488893335,1.8808211798496872,-0.02672470979559049
EU,GOLDILOCKS,EXV5.DE,0.29454426029179503,0.5511811023622047,-0.01008629335591464,1.158898525675788,-0.028650877438370446
EU,GOLDILOCKS,EXV6.DE,-0.19061100728437239,0.4566929133858268,0.18979824656845562,1.240568981206538,-0.032003900663514794
EU,GOLDILOCKS,EXV4.DE,0.09374427193014617,0.5118110236220472,-0.04096841610266446,1.7136485151504628,-0.01718388796363248
EU,GOLDILOCKS,EXV2.DE,-0.371408393685333,0.48031496062992124,0.10559155124199641,1.037990260152256,-0.017105511497761208
EU,GOLDILOCKS,EXW1.DE,0.40531664561616826,0.7165354330708661,-0.20455640141114273,1.9164555142754818,-0.021798914130825357
EU,GOLDILOCKS,EXI5.DE,-0.15338835849001556,0.5039370078740157,0.1896978078292694,2.8018701038961042,-0.02162658815704633
EU,GOLDILOCKS,EXV9.DE,0.1621614147731919,0.44881889763779526,-0.06371764100327307,2.776726351984422,-0.02324639091319014
EU,GOLDILOCKS,EXV7.DE,0.196288001963798,0.5275590551181102,-0.09261056824836444,1.3199738990904466,-0.02091897737305089
