Period,Zone,W_CASH,W_GLD,W_XLK,W_XLY,W_XLE,W_XLI,W_XLU,W_DBC,W_XLV,W_EXV4.DE,W_EXV7.DE,W_EXW1.DE,W_EXV3.DE,W_EXV8.DE,W_EXV1.DE,W_EXV6.DE,W_SXRS.DE
P0 (2000-2004),US,0.9830414012738854,0.0018312101910828028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
P0 (2000-2004),EU,0.9830414012738854,0.0018312101910828028,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1 (2005-2012),US,0.20464128843338217,0.10000000000000002,0.24744509516837487,0.10056368960468523,0.10585651537335287,0.14819912152269402,0.031098096632503663,0.031098096632503663,0.031098096632503663,,,,,,,,
P1 (2005-2012),EU,0.4883894582723281,0.10000000000000002,,,,,,,,0.12171303074670572,0.08560761346998537,0.08595900439238653,0.05916544655929723,0.05916544655929723,0.0,0.0,0.0
P2 (2013-2019),US,0.09,0.1,0.3506759002770084,0.22088642659279784,0.09934903047091415,0.13908864265927978,0.0,0.0,0.0,,,,,,,,
P2 (2013-2019),EU,0.1328808864265928,0.1,,,,,,,,0.11353462603878117,0.08247091412742383,0.21535180055401665,0.1703767313019391,0.1703767313019391,0.007504155124653741,0.007504155124653741,0.0
P3 (2020-2022),US,0.09,0.1,0.2688387096774194,0.18650322580645168,0.06241935483870969,0.08738709677419354,0.06828387096774194,0.06828387096774194,0.06828387096774194,,,,,,,,
P3 (2020-2022),EU,0.09,0.1,,,,,,,,0.14539354838709678,0.1027741935483871,0.1472516129032258,0.052258064516129035,0.052258064516129035,0.10486451612903225,0.10486451612903225,0.10033548387096773
P4 (2023-2026),US,0.09,0.09999999999999999,0.3458664259927799,0.3318953068592059,0.01164259927797834,0.01629963898916968,0.03476534296028881,0.03476534296028881,0.03476534296028881,,,,,,,,
P4 (2023-2026),EU,0.09,0.09999999999999999,,,,,,,,0.016678700361010834,0.011913357400722023,0.22180505415162455,0.1397111913357401,0.1397111913357401,0.1353249097472924,0.1353249097472924,0.009530685920577618
