From,DEFLATION,GOLDILOCKS,REFLATION,STAGFLATION
DEFLATION,0.9523498694516971,0.028720626631853787,0.0013054830287206266,0.01762402088772846
GOLDILOCKS,0.010014655593551539,0.979970688812897,0.009526135808500244,0.0004885197850512946
REFLATION,0.0010960906101571063,0.01351845085860431,0.9777128242601388,0.0076726342710997444
STAGFLATION,0.01911667765326302,0.0,0.013183915622940013,0.967699406723797
